?cls	?xref
<http://purl.obolibrary.org/obo/CHMO_0000605>	"FIX:0000556"
<http://purl.obolibrary.org/obo/CHMO_0000090>	"FIX:0000383"
<http://purl.obolibrary.org/obo/CHMO_0000591>	"FIX:0000022"
<http://purl.obolibrary.org/obo/CHEBI_33819>	"gmelin:17561"
<http://purl.obolibrary.org/obo/CHEBI_33819>	"cas:13968-48-4"
<http://purl.obolibrary.org/obo/CHMO_0002749>	"goldbook:R05360"
<http://purl.obolibrary.org/obo/CHMO_0001022>	"sep:00171"
<http://purl.obolibrary.org/obo/CHMO_0000722>	"FIX:0000701"
<http://purl.obolibrary.org/obo/CHMO_0000563>	"FIX:0000086"
<http://purl.obolibrary.org/obo/CHMO_0002033>	"FIX:0000735"
<http://purl.obolibrary.org/obo/CHMO_0000417>	"FIX:0000050"
<http://purl.obolibrary.org/obo/CHMO_0001027>	"sep:00173"
<http://purl.obolibrary.org/obo/CHMO_0002727>	"FIX:0000247"
<http://purl.obolibrary.org/obo/CHMO_0002902>	"http://en.wikipedia.org/wiki/Faraday_efficiency"
<http://purl.obolibrary.org/obo/CHMO_0001021>	"sep:00150"
<http://purl.obolibrary.org/obo/CHMO_0002719>	"FIX:0000958"
<http://purl.obolibrary.org/obo/CHMO_0000601>	"FIX:0000180"
<http://purl.obolibrary.org/obo/CHMO_0002397>	"FIX:0000470"
<http://purl.obolibrary.org/obo/CHMO_0001883>	"FIX:0000463"
<http://purl.obolibrary.org/obo/CHMO_0002772>	"http://en.wikipedia.org/wiki/Degasification"
<http://purl.obolibrary.org/obo/CHMO_0000745>	"FIX:0000172"
<http://purl.obolibrary.org/obo/CHMO_0000648>	"FIX:0000653"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"reaxys:1731042"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"hmdb:HMDB0029596"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"metacyc.compound:CPD-843"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"kegg.compound:C13827"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:8476536"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:10379014"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"wikipedia.en:Chloroform"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:20051454"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:23093177"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"lincs.smallmolecule:LSM-37229"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"cas:67-66-3"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"drugcentral:4363"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:8625290"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:15583552"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"umbbd.compound:c0595"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"gmelin:1837"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pdb-ccd:MCH"
<http://purl.obolibrary.org/obo/CHEBI_35255>	"pubmed:21850127"
<http://purl.obolibrary.org/obo/CHEBI_36928>	"cas:14762-74-4"
<http://purl.obolibrary.org/obo/CHEBI_28694>	"kegg.compound:C00070"
<http://purl.obolibrary.org/obo/CHEBI_28694>	"gmelin:16269"
<http://purl.obolibrary.org/obo/CHEBI_28694>	"cas:7440-50-8"
<http://purl.obolibrary.org/obo/CHEBI_28694>	"webelements:Cu"
<http://purl.obolibrary.org/obo/PATO_0001241>	"snap:Quality"
<http://purl.obolibrary.org/obo/CHMO_0001019>	"sep:00140"
<http://purl.obolibrary.org/obo/CHMO_0000670>	"FIX:0000077"
<http://purl.obolibrary.org/obo/CHEBI_60027>	"wikipedia.en:Polymer"
<http://purl.obolibrary.org/obo/CHMO_0001023>	"sep:00172"
<http://purl.obolibrary.org/obo/CHMO_0002034>	"FIX:0000736"
<http://purl.obolibrary.org/obo/CHMO_0000597>	"FIX:0000137"
<http://purl.obolibrary.org/obo/CHMO_0002728>	"FIX:0000248"
<http://purl.obolibrary.org/obo/OBCS_0000058>	"STATO:0000233"
<http://purl.obolibrary.org/obo/CHMO_0001836>	"FIX:0001156"
<http://purl.obolibrary.org/obo/CHMO_0002398>	"FIX:0000474"
<http://purl.obolibrary.org/obo/CHMO_0000608>	"FIX:0001085"
<http://purl.obolibrary.org/obo/CHMO_0000610>	"FIX:0000150"
<http://purl.obolibrary.org/obo/CHMO_0000593>	"FIX:0000134"
