?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PATO_0001334>	<http://www.w3.org/2000/01/rdf-schema#label>	"diameter"	
<http://purl.obolibrary.org/obo/PATO_0001413>	<http://www.w3.org/2000/01/rdf-schema#label>	"angular velocity"	
<http://purl.obolibrary.org/obo/PATO_0050000>	<http://www.w3.org/2000/01/rdf-schema#label>	"rate of occurence"	
<http://purl.obolibrary.org/obo/PATO_0001323>	<http://www.w3.org/2000/01/rdf-schema#label>	"area"	
<http://purl.obolibrary.org/obo/PATO_0001026>	<http://www.w3.org/2000/01/rdf-schema#label>	"work"	
<http://purl.obolibrary.org/obo/PATO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"	
<http://purl.obolibrary.org/obo/PATO_0000044>	<http://www.w3.org/2000/01/rdf-schema#label>	"frequency"	
<http://purl.obolibrary.org/obo/PATO_0001906>	<http://www.w3.org/2000/01/rdf-schema#label>	"movement quality"	
<http://purl.obolibrary.org/obo/PATO_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"concentration of"	
<http://purl.obolibrary.org/obo/PATO_0001021>	<http://www.w3.org/2000/01/rdf-schema#label>	"energy"	
<http://purl.obolibrary.org/obo/PATO_0001309>	<http://www.w3.org/2000/01/rdf-schema#label>	"duration"	
<http://purl.obolibrary.org/obo/PATO_0000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"speed"	
<http://purl.obolibrary.org/obo/PATO_0001757>	<http://www.w3.org/2000/01/rdf-schema#label>	"electrical conductivity"	
<http://purl.obolibrary.org/obo/PATO_0001708>	<http://www.w3.org/2000/01/rdf-schema#label>	"1-D extent"	
<http://purl.obolibrary.org/obo/PATO_0002326>	<http://www.w3.org/2000/01/rdf-schema#label>	"angle"	
<http://purl.obolibrary.org/obo/PATO_0002244>	<http://www.w3.org/2000/01/rdf-schema#label>	"mass flow rate"	
<http://purl.obolibrary.org/obo/PATO_0000141>	<http://www.w3.org/2000/01/rdf-schema#label>	"structure"	
<http://purl.obolibrary.org/obo/PATO_0000133>	<http://www.w3.org/2000/01/rdf-schema#label>	"orientation"	
<http://purl.obolibrary.org/obo/PATO_0000918>	<http://www.w3.org/2000/01/rdf-schema#label>	"volume"	
<http://purl.obolibrary.org/obo/PATO_0000146>	<http://www.w3.org/2000/01/rdf-schema#label>	"temperature"	
<http://purl.obolibrary.org/obo/PATO_0001242>	<http://www.w3.org/2000/01/rdf-schema#label>	"wavelength"	
<http://purl.obolibrary.org/obo/PATO_0000122>	<http://www.w3.org/2000/01/rdf-schema#label>	"length"	
<http://purl.obolibrary.org/obo/PATO_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>	"power"	
