?prefix	?numberOfClasses
"OBI"	124
"CHMO"	2958
"IAO"	48
"TFSCO"	1
"BFO"	35
"UO"	10
"OBCS"	13
"UBERON"	2
"PR"	1
"MS"	1
"GO"	5
"NCBITaxon"	1
"CL"	1
"CHEBI"	27
"PATO"	8
